alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,Smth1,Smth2
 -1.100,-0.1251, 0.00441, 0.00037, 0.0004,0.1407,0.0340,-0.5211, 0.0000, 0.0000, 0.0000, 0.2518
 -1.000,-0.1137, 0.00441, 0.00037, 0.0003,0.1314,0.0363,-0.4782, 0.0000, 0.0000, 0.0000, 0.2518
 -0.900,-0.1023, 0.00441, 0.00036, 0.0003,0.1253,0.0369,-0.4356, 0.0000, 0.0000, 0.0000, 0.2518
 -0.800,-0.0909, 0.00440, 0.00036, 0.0003,0.1247,0.0398,-0.3970, 0.0000, 0.0000, 0.0000, 0.2518
 -0.700,-0.0795, 0.00440, 0.00035, 0.0002,0.1212,0.0429,-0.3629, 0.0000, 0.0000, 0.0000, 0.2518
 -0.600,-0.0682, 0.00440, 0.00035, 0.0002,0.1121,0.0459,-0.3323, 0.0000, 0.0000, 0.0000, 0.2519
 -0.500,-0.0568, 0.00442, 0.00035, 0.0002,0.1030,0.0464,-0.3042, 0.0000, 0.0000, 0.0000, 0.2518
 -0.400,-0.0455, 0.00442, 0.00035, 0.0001,0.0936,0.0524,-0.2796, 0.0000, 0.0000, 0.0000, 0.2518
 -0.300,-0.0341, 0.00443, 0.00035, 0.0001,0.0861,0.0562,-0.2579, 0.0000, 0.0000, 0.0000, 0.2519
 -0.200,-0.0227, 0.00442, 0.00034, 0.0001,0.0817,0.0569,-0.2385, 0.0000, 0.0000, 0.0000, 0.2518
 -0.100,-0.0114, 0.00445, 0.00035, 0.0000,0.0709,0.0578,-0.2215, 0.0000, 0.0000, 0.0000, 0.2518
  0.000, 0.0000, 0.00447, 0.00035,-0.0000,0.0618,0.0618,-0.2061, 0.0000, 0.0000, 0.0000, 0.3425
  0.100, 0.0114, 0.00445, 0.00035,-0.0000,0.0578,0.0709,-0.2215, 0.0000, 0.0000, 0.0000, 0.2518
  0.200, 0.0227, 0.00442, 0.00034,-0.0001,0.0569,0.0817,-0.2385, 0.0000, 0.0000, 0.0000, 0.2518
  0.300, 0.0341, 0.00443, 0.00035,-0.0001,0.0562,0.0861,-0.2579, 0.0000, 0.0000, 0.0000, 0.2519
  0.400, 0.0455, 0.00442, 0.00035,-0.0001,0.0524,0.0936,-0.2796, 0.0000, 0.0000, 0.0000, 0.2518
  0.500, 0.0568, 0.00442, 0.00035,-0.0002,0.0464,0.1030,-0.3042, 0.0000, 0.0000, 0.0000, 0.2518
  0.600, 0.0682, 0.00440, 0.00035,-0.0002,0.0459,0.1122,-0.3323, 0.0000, 0.0000, 0.0000, 0.2519
  0.700, 0.0795, 0.00440, 0.00035,-0.0002,0.0429,0.1212,-0.3629, 0.0000, 0.0000, 0.0000, 0.2518
  0.900, 0.1023, 0.00441, 0.00036,-0.0003,0.0369,0.1253,-0.4356, 0.0000, 0.0000, 0.0000, 0.2518
  1.000, 0.1137, 0.00441, 0.00037,-0.0003,0.0363,0.1314,-0.4782, 0.0000, 0.0000, 0.0000, 0.2518
  1.100, 0.1251, 0.00441, 0.00037,-0.0004,0.0340,0.1407,-0.5211, 0.0000, 0.0000, 0.0000, 0.2518
  1.200, 0.1364, 0.00442, 0.00038,-0.0004,0.0294,0.1422,-0.5649, 0.0000, 0.0000, 0.0000, 0.2518
  1.300, 0.1478, 0.00444, 0.00039,-0.0004,0.0252,0.1509,-0.6203, 0.0000, 0.0000, 0.0000, 0.2518
  1.500, 0.1705, 0.00445, 0.00042,-0.0005,0.0191,0.1596,-0.7344, 0.0000, 0.0000, 0.0000, 0.2517
  1.600, 0.1819, 0.00445, 0.00042,-0.0005,0.0201,0.1667,-0.7948, 0.0000, 0.0000, 0.0000, 0.2517
  1.700, 0.1933, 0.00445, 0.00043,-0.0006,0.0172,0.1763,-0.8542, 0.0000, 0.0000, 0.0000, 0.2517
